Name of the Banks,Date,Savings Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Fixed Deposit,Fixed Deposit,Fixed Deposit,Fixed Deposit,Fixed Deposit
DUTCH-BANGLA,2018-08-01,4.0,3.0,4.0,4.5,4.5,4.5,5.25,5.75,6.25,6.25,6.25
EBL,2018-08-01,3.5,1.0,2.0,2.5,3.0,3.0,4.75,4.75,5.0,5.0,5.0
EXIM,2018-08-01,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0
FIRST SECU,2018-08-01,3.5,3.0,3.0,3.0,3.0,3.0,6.0,6.5,7.0,,
GIBL,2018-08-01,5.0,5.0,5.0,5.0,5.0,5.0,5.75,8.75,9.25,9.25,9.25
ICB,2018-08-01,4.5,3.0,4.0,4.0,4.0,4.0,6.0,7.0,7.5,7.5,7.5
IFIC,2018-08-01,5.5,2.0,3.0,3.0,3.0,6.5,6.0,7.0,8.0,8.0,8.0
ISLAMI,2018-08-01,2.875,2.5,2.5,2.5,2.5,2.5,6.0,6.5,6.7,6.9,7.0
JAMUNA,2018-08-01,3.0,2.0,2.5,3.0,3.5,5.5,5.75,5.75,5.75,,
MDBL,2018-08-01,4.5,4.25,5.5,5.5,5.75,5.75,6.5,7.625,8.125,,
MERCANTILE,2018-08-01,2.5,2.5,3.0,3.5,5.0,6.0,4.5,6.625,7.0,,
MGBL,2018-08-01,5.0,4.5,5.0,5.5,5.75,6.0,5.5,5.75,5.875,,
MMBL,2018-08-01,6.375,3.0,3.0,3.0,3.5,4.0,6.0,8.5,9.0,,
MUTUAL TRUST,2018-08-01,4.0,3.75,4.0,4.25,4.5,4.75,6.0,6.625,7.0,7.5,8.0
NBL,2018-08-01,3.0,4.5,4.5,4.5,4.5,4.5,7.5,9.0,9.0,9.0,9.0
NCCBL,2018-08-01,3.5,2.5,2.5,2.5,2.5,2.5,6.0,7.5,8.25,8.25,8.25
NRBBL,2018-08-01,3.75,3.0,4.0,5.0,5.0,5.5,6.0,7.0,7.375,7.25,
NRBCBL,2018-08-01,5.375,2.0,3.0,3.0,3.5,3.5,6.0,7.5,8.5,8.75,9.0
ONE BANK,2018-08-01,4.775,3.5,3.5,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
Padma,2018-08-01,6.0,6.0,6.25,6.5,7.0,7.0,10.0,10.5,11.0,,
PREMIER,2018-08-01,3.25,2.5,3.0,3.5,3.5,4.0,6.75,7.5,8.125,8.5,5.5
PRIME,2018-08-01,3.5,2.0,2.5,3.25,3.25,4.0,4.75,5.75,5.75,,
PUBALI,2018-08-01,2.75,4.0,4.5,5.5,6.0,6.0,6.25,7.25,8.25,9.5,9.0
SBACBL,2018-08-01,4.0,4.0,4.5,5.0,5.5,6.0,7.0,7.0,7.0,7.0,7.0
SHAHJALAL,2018-08-01,3.0,3.0,3.25,3.5,3.75,4.0,5.5,5.5,5.5,6.0,6.0
SHIMANTO,2018-08-01,5.075,3.25,3.25,3.5,3.5,4.0,6.0,6.0,6.0,6.0,6.0
SIBL,2018-08-01,4.0,3.5,4.0,4.5,5.0,5.5,6.0,7.0,8.0,,
SOUTHEAST,2018-08-01,3.25,2.5,2.75,3.5,3.75,4.0,6.0,7.0,7.5,,
STANDARD,2018-08-01,3.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,
THE CITY,2018-08-01,3.25,2.25,3.5,3.5,3.5,3.5,6.25,6.25,7.25,6.75,6.5
TRUST BANK,2018-08-01,4.0,1.5,1.65,1.75,1.9,2.0,6.25,7.5,7.5,7.5,7.5
UCBL,2018-08-01,2.75,2.5,2.5,2.5,3.5,3.5,4.375,5.25,5.75,6.0,6.0
UNBL,2018-08-01,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0
UTTARA,2018-08-01,3.5,3.5,3.75,4.0,7.5,7.5,6.0,6.75,7.375,7.0,
FBs,2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2018-08-01,5.0,1.0,2.0,2.0,2.0,2.0,5.825,6.375,7.125,6.0,6.0
CITI N.A.,2018-08-01,0.4,0.1,0.2,0.3,2.0,1.0,2.7,2.65,2.3,,
COMMERCIAL B.,2018-08-01,3.75,2.0,2.0,2.25,2.5,4.0,4.5,6.5,6.875,7.75,8.75
HABIB,2018-08-01,4.0,3.0,3.0,3.0,3.0,3.0,6.75,7.0,7.25,4.5,4.5
HSBC,2018-08-01,4.375,1.0,1.15,1.25,2.0,2.75,4.75,5.75,5.75,5.5,5.5
NBP,2018-08-01,5.0,2.0,2.25,2.5,3.0,3.5,6.0,6.0,9.5,10.0,10.0
SBI,2018-08-01,3.5,1.0,1.5,1.5,1.5,1.5,5.75,5.75,6.25,5.75,5.5
STAN.CHART,2018-08-01,2.875,0.75,0.75,1.25,2.0,2.0,5.125,5.5,6.0,6.125,5.5
WOORI,2018-08-01,3.5,1.5,1.5,1.5,1.5,1.5,4.375,4.875,5.375,5.875,6.375
AGRANI,2018-09-01,3.5,3.5,3.5,3.5,3.75,4.0,5.75,5.85,6.0,,
BASIC,2018-09-01,4.0,4.0,4.0,4.0,4.0,4.0,5.5,5.75,6.0,6.0,6.0
BDBL,2018-09-01,4.0,3.5,3.5,3.5,3.5,3.5,6.0,6.0,6.0,,
JANATA,2018-09-01,3.5,3.75,3.75,3.75,3.75,3.75,5.25,5.5,6.0,,
RUPALI,2018-09-01,3.25,4.0,4.0,4.0,4.0,4.0,5.25,5.5,6.0,6.0,6.0
SONALI,2018-09-01,3.5,3.5,3.5,3.5,3.75,4.0,5.125,5.375,5.625,5.625,
DFIs,2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2018-09-01,3.5,4.0,4.0,4.0,4.0,4.0,5.5,5.75,6.0,,
RAKUB,2018-09-01,6.0,3.5,3.5,3.5,3.5,3.5,5.75,6.5,6.625,6.75,7.75
PCBs,2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2018-09-01,3.5,2.5,3.25,4.25,5.0,5.5,6.0,8.5,9.5,9.5,
AL-ARAFAH,2018-09-01,4.0,2.0,2.0,2.0,2.0,2.0,5.0,6.75,7.0,7.0,7.0
BANK ASIA,2018-09-01,4.5,2.5,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
BCBL,2018-09-01,3.375,2.5,3.0,2.5,2.5,3.0,6.0,7.0,8.0,,
BRAC,2018-09-01,2.75,1.0,1.5,2.0,3.0,4.0,5.5,6.0,6.5,7.0,7.0
DHAKA,2018-09-01,2.25,3.0,3.0,3.5,4.0,4.0,5.75,5.75,6.0,6.0,9.35
DUTCH-BANGLA,2018-09-01,4.0,2.0,3.0,3.5,3.5,3.5,4.25,4.75,5.25,5.25,5.25
EBL,2018-09-01,3.5,1.0,2.0,2.5,3.0,3.0,4.75,4.75,5.0,5.0,5.0
EXIM,2018-09-01,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0
FIRST SECU,2018-09-01,3.5,3.0,3.0,3.0,3.0,3.0,6.0,6.5,7.0,,
GIBL,2018-09-01,4.0,4.0,4.0,4.0,4.0,4.0,6.25,8.75,9.25,9.25,9.25
ICB,2018-09-01,4.5,3.0,4.0,4.0,4.0,4.0,6.0,7.0,7.5,7.5,7.5
IFIC,2018-09-01,5.0,2.0,3.0,3.0,3.0,6.0,6.0,7.0,7.5,7.5,7.5
ISLAMI,2018-09-01,2.875,2.5,2.5,2.5,2.5,2.5,6.0,6.5,6.7,6.9,7.0
JAMUNA,2018-09-01,3.0,2.0,2.5,3.0,3.5,5.5,5.75,5.75,5.75,,
MDBL,2018-09-01,4.5,4.25,5.5,5.5,5.75,5.75,6.5,7.625,8.125,,
MERCANTILE,2018-09-01,2.5,2.5,3.0,3.5,5.0,6.0,4.5,6.625,7.0,,
MGBL,2018-09-01,5.0,4.5,5.0,5.5,5.75,6.0,5.5,5.75,5.875,,
MMBL,2018-09-01,6.625,3.0,3.0,3.0,3.5,4.0,6.0,8.5,9.0,,
MUTUAL TRUST,2018-09-01,3.5,2.5,2.75,3.0,3.25,3.5,6.0,6.625,7.0,7.5,8.0
NBL,2018-09-01,3.0,4.5,4.5,4.5,4.5,4.5,7.25,8.5,8.5,8.5,8.5
NCCBL,2018-09-01,3.5,2.5,2.5,2.5,2.5,2.5,6.0,7.0,7.25,,
NRBBL,2018-09-01,3.75,3.0,4.0,5.0,5.0,5.5,6.0,7.25,7.375,7.375,
NRBCBL,2018-09-01,5.375,2.0,3.0,3.0,3.5,3.5,6.0,7.75,8.75,9.0,9.25
ONE BANK,2018-09-01,4.775,3.5,3.5,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
Padma,2018-09-01,5.0,5.0,5.25,5.5,5.75,6.0,8.5,8.75,9.0,,
PREMIER,2018-09-01,3.25,2.5,3.0,3.5,3.5,4.0,6.75,7.5,8.125,8.5,5.5
PRIME,2018-09-01,3.5,2.0,2.5,3.25,3.25,4.0,4.75,5.75,5.75,,
PUBALI,2018-09-01,2.75,4.0,4.5,5.5,6.0,6.0,6.0,7.25,8.0,9.5,9.0
SBACBL,2018-09-01,4.0,4.0,4.5,5.0,5.5,6.0,7.0,7.0,7.0,7.0,7.0
SHAHJALAL,2018-09-01,3.0,3.0,3.25,3.5,3.75,4.0,5.5,5.5,5.5,6.0,6.0
SHIMANTO,2018-09-01,5.075,3.25,3.25,3.5,3.5,4.0,6.0,6.75,6.75,6.0,6.0
SIBL,2018-09-01,4.0,3.5,4.0,4.5,5.0,5.5,6.0,7.0,8.0,,
SOUTHEAST,2018-09-01,3.25,2.5,2.75,3.5,3.75,4.0,6.0,6.75,7.25,7.25,
STANDARD,2018-09-01,3.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,
THE CITY,2018-09-01,3.25,2.25,3.0,3.5,3.5,3.5,6.0,6.0,5.875,6.375,6.25
TRUST BANK,2018-09-01,4.0,1.5,1.65,1.75,1.9,2.0,6.0,7.5,7.5,7.5,7.5
UCBL,2018-09-01,2.75,2.5,2.5,2.5,3.5,3.5,4.375,5.25,5.75,6.0,6.0
UNBL,2018-09-01,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0
UTTARA,2018-09-01,4.0,3.5,3.75,4.0,7.5,7.5,5.775,5.925000000000001,6.0,6.0,
FBs,2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2018-09-01,5.0,1.0,2.0,2.0,2.0,2.0,5.825,6.375,7.125,6.0,6.0
CITI N.A.,2018-09-01,0.4,0.1,0.2,0.3,2.0,1.0,2.55,2.55,2.3,,
COMMERCIAL B.,2018-09-01,3.75,2.0,2.0,2.25,2.5,4.0,4.5,6.5,6.725,7.75,8.75
HABIB,2018-09-01,4.0,3.0,3.0,3.0,3.0,3.0,6.75,7.0,7.375,4.5,4.5
HSBC,2018-09-01,4.375,1.0,1.15,1.25,2.0,2.75,4.75,5.5,5.5,5.5,5.5
NBP,2018-09-01,5.0,2.0,2.25,2.5,3.0,3.5,6.0,6.0,9.5,10.0,10.0
SBI,2018-09-01,3.5,1.0,1.5,1.5,1.5,1.5,5.75,5.75,6.25,5.75,5.5
STAN.CHART,2018-09-01,2.875,0.75,0.75,1.25,2.0,2.0,4.0,5.5,6.0,4.75,4.875
WOORI,2018-09-01,3.5,1.5,1.5,1.5,1.5,1.5,4.375,4.875,5.375,5.875,6.375
AGRANI,2018-10-01,3.5,3.5,3.5,3.5,3.75,4.0,5.75,5.85,6.0,,
BASIC,2018-10-01,4.0,4.0,4.0,4.0,4.0,4.0,5.5,5.75,6.0,6.0,6.0
BDBL,2018-10-01,4.0,3.5,3.5,3.5,3.5,3.5,6.0,6.0,6.0,,
JANATA,2018-10-01,3.5,3.75,3.75,3.75,3.75,3.75,5.25,5.5,6.0,,
RUPALI,2018-10-01,3.25,4.0,4.0,4.0,4.0,4.0,5.25,5.5,6.0,6.0,6.0
SONALI,2018-10-01,3.5,3.5,3.5,3.5,3.75,4.0,5.125,5.375,5.625,5.625,
DFIs,2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2018-10-01,3.5,4.0,4.0,4.0,4.0,4.0,5.75,5.85,6.0,,
RAKUB,2018-10-01,6.0,3.5,3.5,3.5,3.5,3.5,5.75,6.5,6.625,6.75,7.75
PCBs,2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2018-10-01,3.5,2.5,3.25,4.25,5.0,5.5,6.0,8.5,9.0,9.0,
AL-ARAFAH,2018-10-01,4.0,2.0,2.0,2.0,2.0,2.0,5.0,6.75,7.0,7.0,7.0
BANK ASIA,2018-10-01,4.5,2.5,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
BCBL,2018-10-01,3.375,2.5,3.0,2.5,2.5,3.0,6.0,7.0,8.0,,
BRAC,2018-10-01,2.75,1.0,1.5,2.0,3.0,4.0,5.75,6.5,7.5,7.0,7.0
DHAKA,2018-10-01,2.25,3.0,3.0,3.5,4.0,4.0,5.75,5.75,6.0,6.0,9.35
DUTCH-BANGLA,2018-10-01,4.0,2.0,3.0,3.5,3.5,3.5,4.25,4.75,5.25,5.25,5.25
EBL,2018-10-01,3.0,1.0,2.0,2.5,3.0,3.0,5.5,5.5,5.0,5.0,5.0
EXIM,2018-10-01,4.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,8.25,7.0,7.0
FIRST SECU,2018-10-01,3.5,3.0,3.0,3.0,3.0,3.0,6.0,6.5,8.5,,
GIBL,2018-10-01,4.0,4.0,4.0,4.0,4.0,4.0,6.25,8.75,9.25,9.25,9.25
ICB,2018-10-01,4.5,3.0,4.0,4.0,4.0,4.0,6.0,7.0,7.5,7.5,7.5
IFIC,2018-10-01,5.0,2.0,3.0,3.0,3.0,6.0,6.0,7.0,7.5,7.5,7.5
ISLAMI,2018-10-01,2.875,2.5,2.5,2.5,2.5,2.5,6.0,6.5,6.7,6.9,7.0
JAMUNA,2018-10-01,3.0,2.0,2.5,3.0,3.5,5.5,5.75,5.75,5.75,,
MDBL,2018-10-01,4.5,4.25,5.5,5.5,5.75,5.75,6.125,7.875,8.25,,
MERCANTILE,2018-10-01,4.0,2.5,3.0,3.5,5.0,6.0,5.25,7.25,8.0,,
MGBL,2018-10-01,4.0,4.5,5.0,5.5,5.75,6.0,7.0,7.5,8.25,,
MMBL,2018-10-01,6.625,3.0,3.0,3.0,3.5,4.0,6.0,8.5,9.0,,
MUTUAL TRUST,2018-10-01,3.5,2.5,2.75,3.0,3.25,3.5,6.0,6.625,7.0,7.5,8.0
NBL,2018-10-01,3.0,4.5,4.5,4.5,4.5,4.5,7.25,8.5,8.5,8.5,8.5
NCCBL,2018-10-01,3.5,2.5,2.5,2.5,2.5,2.5,6.0,7.0,7.25,,
NRBBL,2018-10-01,3.75,3.0,4.0,5.0,5.0,5.5,6.0,7.25,7.375,7.375,
NRBCBL,2018-10-01,5.375,2.0,3.0,3.0,3.5,3.5,7.0,7.875,8.625,8.875,9.125
ONE BANK,2018-10-01,4.775,3.5,3.5,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
Padma,2018-10-01,5.0,5.0,5.25,5.5,5.75,6.0,8.5,8.75,9.0,,
PREMIER,2018-10-01,3.25,2.5,3.0,3.5,3.5,4.0,6.75,7.5,8.125,8.5,5.5
PRIME,2018-10-01,3.5,2.0,2.5,3.25,3.25,4.0,4.75,5.75,5.75,,
PUBALI,2018-10-01,2.75,3.5,4.0,5.0,6.0,6.0,5.0,6.5,7.0,9.5,8.5
SBACBL,2018-10-01,4.0,4.0,4.5,5.0,5.5,6.0,7.0,7.0,7.0,7.0,7.0
SHAHJALAL,2018-10-01,4.0,3.0,3.25,3.5,3.75,4.0,5.5,5.5,5.5,6.0,6.0
SHIMANTO,2018-10-01,5.075,3.25,3.25,3.5,3.5,4.0,6.0,6.75,6.75,6.0,6.0
SIBL,2018-10-01,4.0,3.5,4.0,4.5,5.0,5.5,6.0,7.0,8.0,,
SOUTHEAST,2018-10-01,3.25,2.5,2.75,3.5,3.75,4.0,6.0,6.75,7.25,7.25,
STANDARD,2018-10-01,3.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,
THE CITY,2018-10-01,3.5,2.25,3.0,3.5,3.5,3.5,5.0,5.25,5.625,5.875,6.25
TRUST BANK,2018-10-01,4.0,1.5,1.65,1.75,1.9,2.0,4.0,7.0,7.5,7.5,7.5
UCBL,2018-10-01,2.75,2.5,2.5,2.5,3.5,3.5,4.375,5.25,5.75,6.0,6.0
UNBL,2018-10-01,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,8.5,8.5,8.5
UTTARA,2018-10-01,4.0,3.5,3.75,4.0,7.5,7.5,6.0,6.625,7.125,6.0,
FBs,2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2018-10-01,5.0,1.0,2.0,2.0,2.0,2.0,5.825,6.375,7.125,6.0,6.0
CITI N.A.,2018-10-01,0.4,0.1,0.2,0.3,2.0,1.0,2.55,2.55,2.3,,
COMMERCIAL B.,2018-10-01,3.75,2.0,2.0,2.25,2.5,4.0,5.0,6.5,7.25,7.75,8.75
HABIB,2018-10-01,4.0,3.0,3.0,3.0,3.0,3.0,6.75,7.0,7.375,4.5,4.5
HSBC,2018-10-01,4.375,1.0,1.15,1.25,2.0,2.75,4.75,5.5,5.5,5.5,5.5
NBP,2018-10-01,5.0,2.0,2.25,2.5,3.0,3.5,6.0,6.0,9.5,10.0,10.0
SBI,2018-10-01,3.5,1.0,1.5,1.5,1.5,1.5,5.0,6.0,7.0,5.5,5.25
STAN.CHART,2018-10-01,2.875,0.75,0.75,1.25,2.0,2.0,4.0,4.125,5.0,4.75,4.875
WOORI,2018-10-01,3.5,1.5,1.5,1.5,1.5,1.5,4.375,4.875,5.375,5.875,6.375
AGRANI,2018-11-01,3.5,3.5,3.5,3.5,3.75,4.0,5.75,5.85,6.0,,
BASIC,2018-11-01,4.0,4.0,4.0,4.0,4.0,4.0,5.5,5.75,6.0,6.0,6.0
BDBL,2018-11-01,4.0,3.5,3.5,3.5,3.5,3.5,6.0,6.0,6.0,,
JANATA,2018-11-01,3.5,3.75,3.75,3.75,3.75,3.75,5.25,5.5,6.0,,
RUPALI,2018-11-01,3.25,4.0,4.0,4.0,4.0,4.0,5.25,5.5,6.0,6.0,6.0
SONALI,2018-11-01,3.5,3.5,3.5,3.5,3.75,4.0,5.125,5.375,5.625,5.625,
DFIs,2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2018-11-01,3.5,4.0,4.0,4.0,4.0,4.0,5.75,5.85,6.0,,
RAKUB,2018-11-01,4.0,4.0,4.0,4.0,4.0,4.0,5.75,6.25,6.375,6.5,7.5
PCBs,2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2018-11-01,3.5,2.5,3.25,4.25,5.0,5.5,6.0,8.5,9.0,9.0,
AL-ARAFAH,2018-11-01,4.0,2.0,2.0,2.0,2.0,2.0,6.0,6.5,7.0,7.0,7.0
BANK ASIA,2018-11-01,4.5,2.5,4.0,6.0,6.0,6.0,6.0,6.5,7.0,7.0,7.0
BCBL,2018-11-01,3.375,2.5,3.0,2.5,2.5,3.0,6.0,7.0,8.0,,
BRAC,2018-11-01,3.0,1.0,1.5,2.0,3.0,4.5,6.0,6.75,7.5,7.25,7.25
DHAKA,2018-11-01,2.25,3.0,3.0,3.5,4.0,4.0,5.75,5.75,6.0,6.0,7.18
DUTCH-BANGLA,2018-11-01,4.0,2.0,3.0,3.5,3.5,3.5,4.25,4.75,5.25,5.25,5.25
EBL,2018-11-01,2.0,1.0,2.0,2.5,3.0,3.0,5.5,5.5,5.75,5.0,5.0
EXIM,2018-11-01,4.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,9.125,7.0,7.0
FIRST SECU,2018-11-01,3.5,3.0,3.0,3.0,3.0,3.0,6.0,6.5,8.5,,
GIBL,2018-11-01,4.0,4.0,4.0,4.0,4.0,4.0,6.25,8.75,9.25,9.25,9.25
ICB,2018-11-01,4.5,3.0,4.0,4.0,4.0,4.0,6.0,7.0,7.5,7.5,7.5
IFIC,2018-11-01,5.0,2.0,3.0,3.0,3.0,6.0,6.0,7.0,7.5,7.5,7.5
ISLAMI,2018-11-01,2.875,2.5,2.5,2.5,2.5,2.5,6.0,6.5,6.7,6.9,7.0
JAMUNA,2018-11-01,3.0,2.0,2.5,3.0,3.5,5.5,5.75,5.75,5.75,,
MDBL,2018-11-01,4.5,4.25,5.5,5.5,5.75,5.75,6.125,7.875,8.25,,
MERCANTILE,2018-11-01,4.0,2.5,3.0,3.5,5.0,6.0,5.25,7.25,8.25,,
MGBL,2018-11-01,4.0,4.5,5.0,5.5,5.75,6.0,7.0,7.5,8.25,,
MMBL,2018-11-01,6.65,3.0,3.0,3.0,3.5,4.0,6.0,8.5,9.0,,
MUTUAL TRUST,2018-11-01,3.5,2.5,2.75,3.0,3.25,3.5,6.0,6.625,7.0,7.5,8.0
NBL,2018-11-01,3.0,4.5,4.5,4.5,4.5,4.5,7.25,8.5,8.5,8.5,8.5
NCCBL,2018-11-01,3.5,2.0,2.0,2.0,2.0,2.0,6.0,7.25,7.75,,
NRBBL,2018-11-01,3.75,3.0,4.0,5.0,5.0,5.5,6.0,7.25,7.375,7.375,
NRBCBL,2018-11-01,5.375,2.0,3.0,3.0,3.5,3.5,7.0,7.875,8.625,8.875,9.125
ONE BANK,2018-11-01,4.775,3.5,3.5,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
Padma,2018-11-01,5.0,5.0,5.25,5.5,5.75,6.0,8.5,8.75,9.0,,
PREMIER,2018-11-01,3.25,2.5,3.0,3.5,3.5,4.0,6.75,7.5,8.125,8.5,5.5
PRIME,2018-11-01,3.5,2.0,2.5,3.25,3.25,4.0,4.75,5.75,5.75,,
PUBALI,2018-11-01,2.75,3.5,4.0,5.0,6.0,6.0,5.0,6.5,7.0,9.5,8.5
SBACBL,2018-11-01,4.0,4.0,4.5,5.0,5.5,6.0,7.0,7.0,7.0,7.0,7.0
SHAHJALAL,2018-11-01,4.0,3.0,3.25,3.5,3.75,4.0,5.5,5.5,5.5,6.0,6.0
SHIMANTO,2018-11-01,5.075,3.25,3.25,3.5,3.5,4.0,6.0,6.75,6.75,6.0,6.0
SIBL,2018-11-01,4.0,3.5,4.0,4.5,5.0,5.5,6.0,7.0,8.0,,
SOUTHEAST,2018-11-01,3.25,2.5,2.75,3.5,3.75,4.0,6.0,6.75,7.25,7.25,
STANDARD,2018-11-01,3.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,
THE CITY,2018-11-01,3.5,2.25,3.0,3.5,3.5,3.5,6.0,6.75,7.25,6.125,6.25
TRUST BANK,2018-11-01,4.0,1.5,1.65,1.75,1.9,2.0,4.0,7.0,7.5,7.5,7.5
UCBL,2018-11-01,2.75,2.5,2.5,2.5,3.5,3.5,5.0,6.0,7.0,7.25,6.0
UNBL,2018-11-01,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,8.5,8.5,8.5
UTTARA,2018-11-01,4.0,3.5,4.25,5.0,6.75,7.0,6.0,6.625,7.125,6.0,
FBs,2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2018-11-01,5.0,1.0,2.0,2.0,2.0,2.0,5.825,6.375,7.125,6.0,6.0
CITI N.A.,2018-11-01,0.4,0.1,0.2,0.3,2.0,1.0,1.375,2.0,2.0,,
COMMERCIAL B.,2018-11-01,3.75,2.0,2.0,2.25,2.5,4.0,5.0,6.5,7.0,7.75,8.75
HABIB,2018-11-01,4.0,3.0,3.0,3.0,3.0,3.0,6.75,7.375,7.375,4.5,4.5
HSBC,2018-11-01,4.375,0.75,0.9,1.0,1.75,2.75,4.5,4.75,4.75,4.75,4.75
NBP,2018-11-01,5.0,2.0,2.25,2.5,3.0,3.5,6.0,6.0,9.5,10.0,10.0
SBI,2018-11-01,3.5,1.0,1.5,1.5,1.5,1.5,5.0,6.0,6.0,5.5,5.25
STAN.CHART,2018-11-01,2.875,0.75,0.75,1.25,2.0,2.0,4.0,4.125,5.0,4.75,4.875
WOORI,2018-11-01,3.5,1.5,1.5,1.5,1.5,1.5,4.375,4.875,5.375,5.875,6.375
AGRANI,2018-12-01,3.5,3.5,3.5,3.5,3.75,4.0,5.75,5.85,6.0,,
BASIC,2018-12-01,4.0,4.0,4.0,4.0,4.0,4.0,5.5,5.75,6.0,6.0,6.0
BDBL,2018-12-01,4.0,3.5,3.5,3.5,3.5,3.5,6.0,6.0,6.0,,
JANATA,2018-12-01,3.5,3.75,3.75,3.75,3.75,3.75,5.25,5.5,6.0,,
RUPALI,2018-12-01,3.25,4.0,4.0,4.0,4.0,4.0,5.25,5.5,6.0,6.0,6.0
SONALI,2018-12-01,3.5,3.5,3.5,3.5,3.75,4.0,5.125,5.375,5.625,5.625,
DFIs,2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2018-12-01,3.5,4.0,4.0,4.0,4.0,4.0,5.75,5.85,6.0,,
RAKUB,2018-12-01,4.0,4.0,4.0,4.0,4.0,4.0,5.75,6.25,6.375,6.5,7.5
PCBs,2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2018-12-01,3.5,2.5,3.25,4.25,5.0,5.5,6.0,8.5,9.0,9.0,
AL-ARAFAH,2018-12-01,4.0,2.0,2.0,2.0,2.0,2.0,6.0,7.0,7.25,7.25,7.25
BANK ASIA,2018-12-01,4.5,2.5,4.0,6.0,7.0,8.0,6.0,7.5,7.5,7.5,7.5
BCBL,2018-12-01,3.375,2.5,3.0,2.5,2.5,3.0,6.0,7.0,8.0,,
BRAC,2018-12-01,3.0,1.0,1.5,2.0,3.0,4.0,6.0,6.75,7.5,7.25,7.25
DHAKA,2018-12-01,2.25,3.0,3.0,3.5,4.0,4.0,5.75,5.75,6.0,6.0,7.18
DUTCH-BANGLA,2018-12-01,4.0,2.0,3.0,3.5,3.5,3.5,4.25,4.75,5.25,5.25,5.25
EBL,2018-12-01,3.0,1.0,2.0,2.5,3.0,3.0,5.5,5.5,5.75,5.0,5.0
EXIM,2018-12-01,4.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,9.125,7.0,7.0
FIRST SECU,2018-12-01,3.5,3.0,3.0,3.0,3.0,3.0,6.0,6.5,8.5,,
GIBL,2018-12-01,4.0,4.0,4.0,4.0,4.0,4.0,6.25,9.5,9.75,9.75,9.75
ICB,2018-12-01,4.5,3.0,4.0,4.0,4.0,4.0,6.0,7.0,7.5,7.5,7.5
IFIC,2018-12-01,5.0,2.0,3.0,3.0,3.0,6.0,7.0,7.5,7.75,7.75,7.75
ISLAMI,2018-12-01,2.875,2.5,2.5,2.5,2.5,2.5,6.0,6.5,6.7,6.9,7.0
JAMUNA,2018-12-01,3.0,2.0,2.5,3.0,3.5,5.5,5.75,6.5,6.75,,
MDBL,2018-12-01,4.5,4.25,5.5,5.5,5.75,5.75,6.125,8.125,8.625,,
